"serialNumberInserv","system_companyName","system_model","updated","system_installDate","capacity_total_sizeTiB","capacity_total_freePct","capacity_byType_fc_sizeTiB","capacity_byType_nl_sizeTiB","capacity_byType_ssd_sizeTiB","capacity_total_dedupeRatio","virtualCapacity_byType_tdvv_vvCount","virtualCapacity_byType_tdvv_sizeTiB"
"2739","U-Go Girl","8200","2016-09-21 20:11:51","2016-06-20","20.94140625","55.008392333984375","","","20.94140625","1.399999976158142","3","8.4"
"3296","Authority","8200","2016-09-21 18:14:41","2016-09-09","27.921875","64.61248016357422","","","27.921875","3.700000047683716","6","5.971875"
"1419","Calvin Rankin","8200","2016-09-21 19:58:01","2015-11-04","41.8828125","18.387428283691406","","","41.8828125","1.2000000476837158","4","16.2"
"275","Elathan","8200","2016-09-07 23:39:46","2016-03-14","15.0703125","47.032142639160156","6.375","","8.6953125","4.0","2","0.62109375"
"974","Arachne","7400","2016-09-21 18:47:32","2013-12-23","488.28125","57.004798889160156","95.625","169.21875","223.4375","3.0999999046325684","7","38.4"
"4085","Conan the Barbarian","8400","2016-09-21 19:07:06","2015-12-07","223.375","64.85205841064453","","","223.375","1.7000000476837158","120","85.1923828125"
"1671","Nekra","8400","2016-09-21 20:52:11","2016-01-26","446.875","25.314685821533203","","","446.875","1.2999999523162842","190","42.41953125"
"617","Supremor","V400","2016-09-21 23:45:18","2012-02-01","974.25","30.076221466064453","477.75","451.25","45.25","3.700000047683716","6","24.703125"
"2189","Baron Macabre","7200","2016-09-21 20:48:29","2015-07-22","41.8828125","8.69707202911377","","","41.8828125","1.7999999523162842","15","40.199999999999996"
"1129","Empath","7200c","2016-09-21 22:30:03","2015-06-15","79.359375","33.75910568237305","72.390625","","6.96875","4.300000190734863","2","2.4"
"318","Bastion","8440","2016-09-17 19:57:58","2016-08-22","162.28125","71.89967346191406","78.515625","","83.765625","1.399999976158142","6","14.399999999999999"
"3388","Squidboy","8200","2016-09-21 20:34:09","2015-12-14","34.90234375","28.539451599121094","","","34.90234375","1.399999976158142","3","14.399999999999999"
"1929","Cobalt Man","7200","2016-09-21 21:07:08","2014-11-06","15.6796875","42.389137268066406","","","15.6796875","2.4000000953674316","4","9.6"
"1046","Melissa Gold","8200","2016-09-21 23:51:33","2016-05-31","18.0234375","21.94408416748047","12.796875","","5.2265625","4.699999809265137","2","3.8402343749999996"
"1141","Doctor Droom","8450","2016-09-21 18:04:51","2016-02-24","111.71875","58.28845977783203","","","111.71875","1.2999999523162842","5","33.6"
"3232","Mandrill","7200c","2016-09-21 16:11:50","2015-02-25","41.8828125","58.74837112426758","","","41.8828125","1.2999999523162842","23","5.596875"
"169","Jimmy Woo","7200c","2016-09-21 23:33:07","2016-08-04","41.84375","60.41355895996094","34.875","","6.96875","1.5","1","1.2"
"545","Vincente","8200","2016-09-21 23:43:46","2016-02-22","83.765625","52.333988189697266","","","83.765625","1.2999999523162842","55","25.151953125"
"1715","Dark Phoenix","8200","2016-09-21 23:31:16","2016-02-02","111.71875","12.736013412475586","","","111.71875","1.899999976158142","36","69.3046875"
"2179","Hammer and Anvil","7200c","2016-09-21 23:45:26","2015-01-12","83.765625","18.438724517822266","","","83.765625","1.7000000476837158","4","48.5859375"
"586","Proteus","8200","2016-09-21 21:52:35","2015-12-17","62.765625","51.608787536621094","52.3125","","10.453125","1.2000000476837158","1","4.8"
"3118","Geirrodur","8200","2016-09-21 19:37:51","2015-12-11","91.578125","65.20858764648438","","84.609375","6.96875","1.100000023841858","4","1.5234375"
"2634","Cancer","7200c","2016-09-21 19:51:53","2015-09-04","41.8828125","49.780826568603516","","","41.8828125","1.0","1","0.1171875"
"254","Jean-Paul Beaubier","7400","2016-09-21 21:03:03","2015-01-29","849.21875","57.596595764160156","102.375","677.0625","69.78125","1.0","2","15.6375"
"869","Colonel","8400","2016-09-21 18:18:04","2015-11-10","167.578125","20.002330780029297","","","167.578125","","",""
"249","Garokk the Petrified Man","V800","2016-09-21 22:56:46","2012-04-20","981.375","27.51222038269043","408.0","338.4375","234.9375","1.2000000476837158","21","70.46249999999999"
"2881","Mariko Yashida","8200","2016-09-21 19:33:46","2016-03-31","34.90234375","35.37772750854492","","","34.90234375","1.2999999523162842","7","10.121484375"
"955","Shaman","7400c","2016-09-21 21:10:15","2015-09-01","111.6875","70.29413604736328","","","111.6875","1.600000023841858","3","9.1201171875"
"2268","Dragonwing","8200","2016-09-21 18:34:20","2016-04-29","6.96875","45.2073974609375","","","6.96875","","",""
"4242","Trioccula","8200","2016-09-21 18:09:53","2016-07-15","5.796875","79.51482391357422","","","5.796875","","",""
"781","Dark Angel","8440","2016-09-21 19:52:00","2016-03-30","279.296875","14.01258659362793","","","279.296875","1.2000000476837158","8","153.6"
"3745","Kleinstocks","7450","2016-09-21 16:02:22","2015-11-02","83.765625","90.84126281738281","","","83.765625","1.2999999523162842","31","11.45390625"
"2548","Ned Horrocks","7440c","2016-09-21 19:30:49","2015-09-25","1674.5625","82.01687622070312","314.0625","1025.4375","335.0625","1.7999999523162842","26","43.707421875"
"32","Asteroth","7450","2016-09-21 20:55:35","2014-10-28","69.8046875","15.937325477600098","","","69.8046875","1.600000023841858","16","49.07578125"
"553","Sean Cassidy","20450","2016-09-21 18:05:11","2016-03-21","223.4375","31.881994247436523","","","223.4375","","",""
"2252","Jonathan Richards","20850","2016-09-21 19:33:29","2015-12-16","1340.625","49.395103454589844","","","1340.625","","",""
"2308","Dionysus","7450","2016-09-21 23:21:13","2015-04-22","41.8828125","48.2465934753418","","","41.8828125","1.2000000476837158","5","43.199999999999996"
"2254","Claudette St. Croix","7200c","2016-09-21 17:30:47","2015-09-28","13.9375","11.981502532958984","","","13.9375","1.2999999523162842","4","7.5375"
"18","Harpy","7400","2016-09-21 21:14:46","2013-08-09","260.14453125","32.165863037109375","175.95703125","42.3046875","41.8828125","1.399999976158142","2","2.7515625"
"980","Sphinx","8200","2016-09-21 19:25:45","2016-03-24","27.921875","50.17487335205078","","","27.921875","2.0","6","9.63046875"
"622","Ravage 2099","8200","2016-09-21 23:34:41","2015-11-23","167.578125","32.68181610107422","","","167.578125","","",""
"2770","Silver Fox","7200c","2016-09-21 22:24:22","2015-12-14","13.3125","11.927817344665527","","","13.3125","1.399999976158142","2","12.0"
"2863","Meanstreak","7200","2016-09-21 22:21:19","2015-04-21","178.8671875","78.5859375","38.390625","84.6328125","55.84375","1.0","1","9.6"
"1890","Anti-Vision","8450","2016-09-21 17:42:57","2015-11-30","83.7890625","26.855478286743164","","","83.7890625","1.2999999523162842","3","24.2671875"
"4417","Red Lotus","8200","2016-09-21 20:39:54","2016-04-13","19.96875","66.85250091552734","","","19.96875","","",""
"3491","Valentina Allegra de La Fontaine","8400","2016-09-21 22:54:44","2016-06-27","106.390625","65.55477905273438","78.46875","","27.921875","1.0","1","0.01171875"
"1818","Rhino","8200","2016-09-21 22:53:34","2015-12-08","24.03125","46.106956481933594","17.0625","","6.96875","1.0","1","0.703125"
"2780","Ghost Rider","7200c","2016-09-21 19:44:59","2015-04-21","86.34375","45.81523895263672","51.1875","28.1875","6.96875","1.0","8","0.6234375"
"632","Gloom","8200","2016-09-21 18:34:10","2016-04-11","34.90234375","27.039730072021484","","","34.90234375","","",""
"883","Jaeger","7200","2016-09-21 19:38:45","2013-04-30","45.359375","24.435928344726562","38.390625","","6.96875","1.600000023841858","3","3.9515624999999996"
"4088","Whistler","7450","2016-09-21 17:00:42","2013-09-04","34.78125","2.942497730255127","","","34.78125","","",""
"174","Erik Josten","7440c","2016-09-21 16:50:42","2015-07-02","837.65625","67.2619400024414","","","837.65625","1.2999999523162842","64","782.4"
"474","Frog-Man","7200","2016-09-21 16:02:01","2014-09-10","55.78125","63.30181884765625","34.875","","20.90625","2.200000047683716","7","40.74375"
"1742","Reeva Payge","7450c","2016-09-21 23:52:51","2015-05-02","558.4375","23.361080169677734","","","558.4375","","",""
"4201","Thane Ector","8450","2016-09-21 17:43:15","2015-11-04","335.0625","16.49062728881836","","","335.0625","","",""
"1808","Triathlon","7200c","2016-09-21 20:02:32","2014-11-22","26.1640625","52.836669921875","19.1953125","","6.96875","3.0999999046325684","3","0.0052734374999999995"
"2513","Mr. M","8200","2016-09-21 19:38:34","2016-04-29","13.9375","21.174327850341797","","","13.9375","","",""
"766","Grizzly","7200c","2016-09-21 20:42:58","2013-03-18","320.59765625","33.6005744934082","102.375","183.3203125","34.90234375","1.399999976158142","4","7.903124999999999"
